UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Giá bảo trì,Ngày kiểm tra,Ghi chú
20,M14879,m,298.9!!,309.3,1632,32.5***,55,0,0,0,0,0,0,125k VND,28.3.23,lowercase type
21,H29434,HIGH,298.9,309.3,1375,42.7@@@,58,0,0,0,0,0,0,152.000,29/03/2023,Decimal formatting
22,L47201,L,298.8,309.3,1450,44.8###,63,0,0,0,0,0,0,#error#,30/03/2023,lowercase h type
23,M14882,MED,298.9,309.3,1581,30.7$$$,65,0,0,0,0,0,0,$140000,31-Mar-2023,Full word medium
24,L47203,L,299.0°,309.4,1758,25.7€€€,68,0,0,0,0,0,0,168000đ,01/04/2023,Vietnamese dong
25,M14884,M,299.0!!!,309.4,1561,37.3@,70,0,0,0,0,0,0,€234000,02.04.2023,High performance
26,L47205,LOW,299.0°K,309.5,1861,23.3#,73,0,0,0,0,0,0,103 thousand,03/04/2023,Medium abbreviated
27,L47206,L,299.1,309.5,1512,39.0$,75,0,0,0,0,0,0,$161k,04-Apr-2023,lowercase low
28,H29441,h,299.1!!,309.4,1811,24.6***,77,0,0,0,0,0,0,241000 VND,05/04/2023,Overstrain failure
29,L47208,L,299.1###,309.4,1439,44.2&,82,0,0,0,0,0,0,€89000,06.4.23,European style
30,L47209,L,299.0°,309.4,1693,30.1@@@,84,0,0,0,0,0,0,171,000 dong,07/04/2023,Vietnamese format
31,M14890,MEDIUM,299.1,309.5,1339,48.2USD$,86,0,0,0,0,0,0,219 USD,08-04-2023,Mixed currency format
32,L47211,L,299.0!!,309.4,1798,25.5€,89,0,0,0,0,0,0,€81k,09/04/2023,Short euro format
33,L47212,l,299.0°K,309.4,1419,48.3***,91,0,0,0,0,0,0,183.000,10.04.2023,Temperature in Kelvin
34,L47213,L,298.9!!!,309.3,1665,32.5@,93,0,0,0,0,0,0,207000đ,11/04/2023,lowercase with symbols
35,M14894,M,298.8,309.1,1559,34.7$$$,95,0,0,0,0,0,0,$96000,12-Apr-2023,Full uppercase medium
36,M14895,MED,298.8##,309.2,1452,48.6&&&,98,0,0,0,0,0,0,149k VND,13/04/2023,Hash and ampersand
37,M14896,M,298.9°,309.2,1581,36.7€€,101,0,0,0,0,0,0,€249000,14.04.23,Double euro symbol
38,L47217,L,298.8,309.1,1439,39.2***@,104,0,0,0,0,0,0,78 thousand,15/04/2023,Mixed symbols
39,H29452,HIGH,298.9!!,309.2,1379,50.7$#,106,0,0,0,0,0,0,$175000,16-04-2023,Mixed currency symbols
40,L47219,L,298.8°K,309.1,1350,52.5USD,111,0,0,0,0,0,0,229 USD,17/04/2023,Random failure
41,L47220,L,298.8###,309.1,1362,45.4€@,113,0,0,0,0,0,0,€73k,18.04.2023,Euro with symbols
42,L47221,L,298.8°!!,309.1,1368,50.8$$$,115,0,0,0,0,0,0,$154000,19/04/2023,Multiple dollar signs
43,M14902,medium,298.8,309.1,1368,49.1***,117,0,0,0,0,0,0,215000 VND,20-Apr-2023,lowercase h type
44,H29457,h,298.8°K,309.2,1372,48.5@@@,120,0,0,0,0,0,0,€99000,21/04/2023,Full word medium
45,M14904,MED,298.8!!!,309.1,1472,47.5#&,125,0,0,0,0,0,0,167k dong,22.04.2023,Mixed symbols dong
46,L47225,L,298.8,309.1,1489,49.1USD$,128,0,0,0,0,0,0,$237 USD,23/04/2023,Mixed USD format
47,M14906,M,298.7°,309,1843,25.8€€€,130,0,0,0,0,0,0,€91000,24-04-2023,Triple euro
48,L47227,L,298.8##,309.1,1418,46.3***,133,0,0,0,0,0,0,189.000 VND,25/04/2023,Decimal VND format
49,H29462,HIGH,298.8°K!,309.2,1425,53.9@#$,135,0,0,0,0,0,0,€223k,26.04.2023,Multiple special chars
50,M14909,M,298.9,309.2,1412,44.1,140,1,0,1,0,0,0,140000,27/04/2023,Machine failure detected
